zip,state,city,lat,lng
75002,TX,Allen,33.093383,-96.645433
75006,TX,Carrollton,32.965736,-96.882464
75007,TX,Carrollton,33.003294,-96.881988
75008,TX,Carrollton,33.03524,-96.923197
75009,TX,Celina,33.310316,-96.767325
75010,TX,Carrollton,33.030414,-96.877746
75019,TX,Coppell,32.96727,-96.980516
75020,TX,Denison,33.745009,-96.549574
75023,TX,Plano,33.054972,-96.736454
75024,TX,Plano,33.075211,-96.784307
75025,TX,Plano,33.078377,-96.729142
75028,TX,Flower Mound,33.038268,-97.074501
75034,TX,Frisco,33.149901,-96.824105
75038,TX,Irving,32.865309,-96.990503
75039,TX,Irving,32.869669,-96.938876
75040,TX,Garland,32.922744,-96.624804
75041,TX,Garland,32.87937,-96.641115
75042,TX,Garland,32.918486,-96.677545
75043,TX,Garland,32.856502,-96.599882
75044,TX,Garland,32.952228,-96.665383
75048,TX,Sachse,32.973576,-96.591472
75050,TX,Grand Prairie,32.76488,-97.01121
75051,TX,Grand Prairie,32.711471,-97.006916
75052,TX,Grand Prairie,32.660475,-97.031142
75056,TX,The Colony,33.094023,-96.883574
75057,TX,Lewisville,33.053162,-96.999882
75058,TX,Gunter,33.449513,-96.734103
75060,TX,Irving,32.80231,-96.959665
75061,TX,Irving,32.826658,-96.963256
75062,TX,Irving,32.847854,-96.974027
75063,TX,Irving,32.924686,-96.959817
75065,TX,Lake Dallas,33.121903,-97.023709
75067,TX,Highland Village,33.04503,-97.026815
75068,TX,Lakewood Village,33.178319,-96.967811
75069,TX,Mc Kinney,33.196558,-96.608488
75070,TX,Mc Kinney,33.195148,-96.664223
75074,TX,Plano,33.027722,-96.67771
75075,TX,Plano,33.024985,-96.739743
75076,TX,Pottsboro,33.809526,-96.690562
75078,TX,Prosper,33.236169,-96.795401
75080,TX,Richardson,32.965986,-96.745249
75081,TX,Richardson,32.946217,-96.705841
75082,TX,Richardson,32.986461,-96.685957
75087,TX,Heath,32.90456,-96.454497
75088,TX,Rowlett,32.90315,-96.547161
75090,TX,Sherman,33.643525,-96.607521
75093,TX,Plano,33.029866,-96.788903
75094,TX,Murphy,33.004873,-96.609101
75098,TX,Wylie,33.004102,-96.539383
75102,TX,Barry,32.101356,-96.625141
75103,TX,Canton,32.514301,-95.904657
75104,TX,Cedar Hill,32.58847,-96.943802
75105,TX,Chatfield,32.295416,-96.388668
75110,TX,Corsicana,32.086776,-96.476151
75114,TX,Crandall,32.597465,-96.46369
75115,TX,De Soto,32.593167,-96.854721
75116,TX,Duncanville,32.65873,-96.911392
75117,TX,Edgewood,32.700326,-95.878011
75119,TX,Ennis,32.332102,-96.622363
75124,TX,Eustace,32.296485,-96.013693
75125,TX,Ferris,32.52232,-96.664321
75126,TX,Forney,32.749055,-96.459759
75127,TX,Fruitvale,32.676981,-95.789903
75134,TX,Lancaster,32.616056,-96.782997
75135,TX,Caddo Mills,33.068267,-96.239093
75137,TX,Duncanville,32.634665,-96.911325
75140,TX,Grand Saline,32.663528,-95.706411
75141,TX,Hutchins,32.639586,-96.707021
75142,TX,Kaufman,32.54599,-96.285239
75143,TX,Seven Points,32.369146,-96.257768
75144,TX,Kerens,32.127463,-96.229828
75146,TX,Lancaster,32.591395,-96.772805
75147,TX,Gun Barrel City,32.307513,-96.129524
75148,TX,Malakoff,32.170511,-96.005952
75149,TX,Mesquite,32.767821,-96.608219
75150,TX,Mesquite,32.815416,-96.630681
75152,TX,Palmer,32.438714,-96.679429
75153,TX,Powell,32.119557,-96.332713
75154,TX,Ovilla,32.516096,-96.820337
75155,TX,Rice,32.225788,-96.460613
75158,TX,Scurry,32.48184,-96.392451
75159,TX,Seagoville,32.652522,-96.557967
75160,TX,Terrell,32.714292,-96.251342
75163,TX,Trinidad,32.138341,-96.08307
75165,TX,Waxahachie,32.380796,-96.837398
75169,TX,Wills Point,32.72834,-96.00788
75172,TX,Wilmer,32.598133,-96.68376
75173,TX,Nevada,33.05934,-96.387657
75180,TX,Balch Springs,32.720216,-96.615278
75181,TX,Mesquite,32.727166,-96.566889
75182,TX,Mesquite,32.801922,-96.567004
75189,TX,Royse City,32.962778,-96.36484
75201,TX,Dallas,32.790439,-96.80439
75202,TX,Dallas,32.778056,-96.805352
75203,TX,Dallas,32.745985,-96.806976
75204,TX,Dallas,32.803814,-96.785144
75205,TX,Village,32.836878,-96.793828
75206,TX,Dallas,32.831029,-96.769219
75207,TX,Dallas,32.793897,-96.831871
75208,TX,Dallas,32.749208,-96.838898
75209,TX,Dallas,32.84564,-96.825984
75210,TX,Dallas,32.769919,-96.742974
75211,TX,Cockrell Hill,32.736928,-96.881797
75212,TX,Dallas,32.782884,-96.871396
75214,TX,Dallas,32.824789,-96.749774
75215,TX,Dallas,32.758206,-96.76226
75216,TX,Dallas,32.708611,-96.795488
75217,TX,Dallas,32.724429,-96.675481
75218,TX,Dallas,32.846335,-96.697212
75219,TX,Dallas,32.813245,-96.814166
75220,TX,Dallas,32.868131,-96.862202
75223,TX,Dallas,32.794173,-96.747475
75224,TX,Dallas,32.711415,-96.838711
75225,TX,Dallas,32.862808,-96.791753
75226,TX,Dallas,32.78871,-96.767552
75227,TX,Dallas,32.767226,-96.683586
75228,TX,Dallas,32.824997,-96.678378
75229,TX,Dallas,32.8958,-96.8588
75230,TX,Dallas,32.89994,-96.789679
75231,TX,Dallas,32.875621,-96.74953
75232,TX,Dallas,32.664708,-96.838392
75233,TX,Dallas,32.704638,-96.872547
75234,TX,Farmers Branch,32.929803,-96.876848
75235,TX,Dallas,32.825213,-96.838843
75236,TX,Dallas,32.690002,-96.917737
75237,TX,Dallas,32.658972,-96.876453
75238,TX,Dallas,32.876976,-96.707982
75239,TX,Dallas,32.659974,-96.732769
75240,TX,Dallas,32.937431,-96.787214
75241,TX,Dallas,32.672216,-96.777421
75243,TX,Dallas,32.910347,-96.728472
75244,TX,Farmers Branch,32.925817,-96.842533
75246,TX,Dallas,32.79484,-96.769696
75247,TX,Dallas,32.801323,-96.887123
75248,TX,Dallas,32.968199,-96.794242
75249,TX,Dallas,32.636024,-96.949266
75251,TX,Dallas,32.912203,-96.771831
75252,TX,Dallas,32.996848,-96.792113
75253,TX,Dallas,32.683311,-96.59643
75287,TX,Dallas,33.000458,-96.83143
75401,TX,Greenville,33.117476,-96.102416
75407,TX,Princeton,33.155542,-96.498073
75409,TX,Anna,33.344516,-96.563862
75410,TX,Alba,32.765235,-95.597102
75411,TX,Arthur City,33.840031,-95.494037
75412,TX,Bagwell,33.836089,-95.14869
75414,TX,Bells,33.617817,-96.423668
75415,TX,Ben Franklin,33.474146,-95.759107
75416,TX,Blossom,33.694547,-95.382341
75417,TX,Bogata,33.469862,-95.193725
75418,TX,Bonham,33.580559,-96.183566
75420,TX,Brashear,33.115521,-95.73451
75421,TX,Brookston,33.624555,-95.688812
75422,TX,Campbell,33.151049,-95.943919
75423,TX,Celeste,33.264913,-96.207635
75424,TX,Blue Ridge,33.306135,-96.390056
75426,TX,Clarksville,33.623563,-95.046094
75428,TX,Commerce,33.2493,-95.90968
75431,TX,Como,33.064231,-95.362655
75432,TX,Cooper,33.381166,-95.662311
75433,TX,Cumby,33.111761,-95.794536
75435,TX,Deport,33.522077,-95.365351
75436,TX,Detroit,33.662691,-95.23848
75437,TX,Dike,33.196485,-95.471125
75438,TX,Dodd City,33.564704,-96.06194
75439,TX,Ector,33.581913,-96.273533
75440,TX,Emory,32.875041,-95.741786
75442,TX,Farmersville,33.165862,-96.368619
75446,TX,Honey Grove,33.598505,-95.9109
75447,TX,Ivanhoe,33.67364,-96.169811
75448,TX,Klondike,33.303375,-95.801762
75449,TX,Ladonia,33.424527,-95.945489
75450,TX,Lake Creek,33.467493,-95.622131
75451,TX,Leesburg,32.976275,-95.107924
75452,TX,Leonard,33.404363,-96.223772
75453,TX,Lone Oak,32.991571,-95.943412
75454,TX,Melissa,33.284114,-96.574009
75455,TX,Mount Pleasant,33.173309,-94.969461
75457,TX,Mount Vernon,33.170204,-95.218106
75459,TX,Howe,33.534867,-96.640723
75460,TX,Paris,33.658077,-95.537881
75468,TX,Pattonville,33.570234,-95.3908
75469,TX,Pecan Gap,33.419641,-95.826196
75470,TX,Petty,33.609765,-95.789057
75471,TX,Pickton,33.042401,-95.462979
75472,TX,Point,32.900743,-95.890285
75473,TX,Powderly,33.777877,-95.530692
75474,TX,Quinlan,32.898347,-96.126083
75476,TX,Ravenna,33.709757,-96.145157
75477,TX,Roxton,33.542934,-95.741605
75478,TX,Saltillo,33.176678,-95.343324
75479,TX,Savoy,33.606571,-96.350156
75480,TX,Scroggins,32.991177,-95.239683
75481,TX,Sulphur Bluff,33.333379,-95.37396
75482,TX,Sulphur Springs,33.134541,-95.592161
75486,TX,Sumner,33.758941,-95.680671
75487,TX,Talco,33.33436,-95.049718
75488,TX,Telephone,33.797854,-96.044945
75490,TX,Trenton,33.423491,-96.339754
75491,TX,Whitewright,33.519041,-96.451025
75492,TX,Windom,33.563295,-96.002002
75493,TX,Winfield,33.161498,-95.078984
75494,TX,Winnsboro,32.91462,-95.27265
75495,TX,Van Alstyne,33.429169,-96.548632
75496,TX,Wolfe City,33.360479,-96.06907
75497,TX,Yantis,32.925694,-95.531113
75501,TX,Wake Village,33.407371,-94.118245
75503,TX,Texarkana,33.466906,-94.077374
75550,TX,Annona,33.553519,-94.899226
75551,TX,Atlanta,33.10898,-94.164617
75554,TX,Avery,33.533935,-94.786708
75555,TX,Bivins,32.96602,-94.140406
75556,TX,Bloomburg,33.133859,-94.064688
75558,TX,Cookville,33.181908,-94.873291
75559,TX,De Kalb,33.472741,-94.621092
75560,TX,Douglassville,33.175806,-94.346699
75561,TX,Leary,33.477542,-94.269188
75563,TX,Linden,33.004821,-94.360509
75566,TX,Marietta,33.179618,-94.542098
75567,TX,Maud,33.35504,-94.482267
75568,TX,Naples,33.191186,-94.689061
75569,TX,Nash,33.439786,-94.142237
75570,TX,Boston,33.462119,-94.433882
75571,TX,Omaha,33.180794,-94.763944
75572,TX,Queen City,33.18736,-94.154825
75574,TX,Simms,33.498727,-94.603862
75601,TX,Longview,32.526854,-94.72328
75602,TX,Longview,32.472373,-94.710078
75603,TX,Longview,32.426368,-94.711691
75604,TX,Longview,32.525139,-94.798957
75605,TX,Longview,32.554711,-94.776748
75630,TX,Avinger,32.848514,-94.579534
75631,TX,Beckville,32.245165,-94.455451
75633,TX,Carthage,32.154379,-94.352721
75638,TX,Daingerfield,33.031263,-94.735899
75639,TX,De Berry,32.254327,-94.13557
75640,TX,New Diana,32.704585,-94.698122
75643,TX,Gary,32.019848,-94.281501
75644,TX,Gilmer,32.724565,-94.971434
75647,TX,Gladewater,32.555858,-94.932001
75650,TX,Hallsville,32.507283,-94.533308
75651,TX,Harleton,32.657858,-94.465165
75652,TX,Henderson,32.152375,-94.791962
75656,TX,Hughes Springs,33.016763,-94.622758
75657,TX,Smithland,32.779863,-94.371217
75661,TX,Karnack,32.620508,-94.20005
75662,TX,Kilgore,32.383557,-94.865271
75667,TX,Laneville,31.950821,-94.866027
75668,TX,Lone Star,32.946982,-94.718303
75669,TX,Long Branch,32.050224,-94.472028
75670,TX,Marshall,32.53378,-94.36191
75681,TX,Mount Enterprise,31.9125,-94.623505
75683,TX,Ore City,32.785588,-94.751401
75684,TX,Overton,32.269041,-94.952914
75686,TX,Pittsburg,32.96231,-94.960337
75687,TX,Price,32.100842,-94.941494
75689,TX,Turnertown,32.18734,-94.950805
75691,TX,Tatum,32.326569,-94.596027
75692,TX,Waskom,32.467183,-94.137884
75693,TX,Clarksville City,32.537232,-94.862115
75701,TX,Tyler,32.325366,-95.292179
75702,TX,Tyler,32.361969,-95.311652
75703,TX,Tyler,32.276827,-95.303147
75704,TX,Tyler,32.373781,-95.406977
75705,TX,Tyler,32.376599,-95.125225
75706,TX,Tyler,32.444148,-95.330993
75707,TX,Tyler,32.303782,-95.192692
75708,TX,East Texas Cente,32.389193,-95.244354
75709,TX,Tyler,32.307817,-95.395563
75750,TX,Arp,32.241758,-95.063908
75751,TX,Athens,32.193499,-95.84318
75754,TX,Ben Wheeler,32.412588,-95.637085
75755,TX,Big Sandy,32.61682,-95.088034
75756,TX,Edom,32.290514,-95.62289
75757,TX,Mount Selman,32.135745,-95.375045
75758,TX,Chandler,32.270638,-95.502531
75760,TX,Cushing,31.797767,-94.853887
75762,TX,Flint,32.207927,-95.394848
75763,TX,Frankston,32.053488,-95.516284
75765,TX,Hawkins,32.643901,-95.222015
75766,TX,Jacksonville,31.96177,-95.270328
75770,TX,Larue,32.160758,-95.592661
75771,TX,Mt Sylvan,32.517152,-95.429932
75773,TX,Mineola,32.666059,-95.487032
75778,TX,Murchison,32.325732,-95.77372
75783,TX,Quitman,32.804862,-95.430161
75784,TX,Reklaw,31.885858,-95.011834
75785,TX,Dialville,31.80976,-95.173156
75789,TX,Troup,32.104003,-95.122656
75790,TX,Van,32.528265,-95.654538
75791,TX,Whitehouse,32.221958,-95.226552
75792,TX,Winona,32.466163,-95.124624
75801,TX,Palestine,31.758752,-95.634158
75831,TX,Freestone,31.457151,-96.058516
75833,TX,Centerville,31.272025,-95.921287
75835,TX,Austonio,31.315067,-95.46833
75838,TX,Donie,31.487285,-96.238687
75839,TX,Slocum,31.635087,-95.553232
75840,TX,Fairfield,31.736136,-96.157176
75844,TX,Grapeland,31.49721,-95.444713
75845,TX,Groveton,31.065142,-95.096894
75846,TX,Jewett,31.373925,-96.191841
75847,TX,Kennard,31.338449,-95.154118
75850,TX,Leona,31.14207,-95.928428
75851,TX,Lovelady,31.0564,-95.550057
75852,TX,Midway,30.980579,-95.70894
75853,TX,Montalba,31.922165,-95.75926
75855,TX,Oakwood,31.602312,-95.902151
75856,TX,Pennington,31.161843,-95.158678
75859,TX,Streetman,31.888532,-96.298763
75860,TX,Teague,31.632772,-96.27778
75861,TX,Tennessee Colony,31.792882,-95.899798
75862,TX,Trinity,30.941951,-95.340295
75901,TX,Keltys,31.336004,-94.734185
75925,TX,Forest,31.647815,-95.079786
75926,TX,Apple Springs,31.226923,-94.981152
75928,TX,Bon Wier,30.687557,-93.766465
75929,TX,Broaddus,31.295241,-94.215552
75930,TX,Bronson,31.339056,-93.999256
75931,TX,Brookeland,31.106273,-94.003566
75932,TX,Burkeville,31.009934,-93.658517
75933,TX,Call,30.574132,-93.833355
75935,TX,Center,31.786468,-94.186947
75936,TX,Chester,30.928532,-94.458099
75937,TX,Chireno,31.511935,-94.430244
75938,TX,Rockland,30.909226,-94.421811
75939,TX,Barnum,31.000657,-94.7959
75941,TX,Diboll,31.195028,-94.772911
75943,TX,Douglass,31.657846,-94.869649
75946,TX,Garrison,31.811111,-94.526604
75948,TX,Hemphill,31.316123,-93.79045
75949,TX,Huntington,31.283714,-94.566237
75951,TX,Sam Rayburn,30.925348,-94.021481
75954,TX,Joaquin,31.943989,-94.060833
75956,TX,Bon Ami,30.688217,-93.927934
75957,TX,Magnolia Springs,30.762882,-94.070896
75959,TX,Milam,31.47001,-93.831816
75960,TX,Moscow,30.917902,-94.85437
75961,TX,Appleby,31.618534,-94.651093
75966,TX,Newton,30.835074,-93.7497
75968,TX,Pineland,31.241782,-93.97542
75969,TX,Pollok,31.429107,-94.825403
75972,TX,San Augustine,31.515173,-94.132581
75973,TX,Shelbyville,31.713074,-93.969841
75974,TX,Tenaha,31.940812,-94.248773
75975,TX,Timpson,31.884089,-94.396733
75976,TX,Wells,31.499755,-94.969351
75977,TX,Wiergate,31.041417,-93.803854
75979,TX,Dogwood,30.775133,-94.425494
75980,TX,Zavalla,31.156863,-94.387115
76006,TX,Arlington,32.778494,-97.083425
76008,TX,Aledo,32.700351,-97.603885
76009,TX,Alvarado,32.439499,-97.212971
76010,TX,Arlington,32.720368,-97.082576
76011,TX,Arlington,32.758236,-97.100302
76012,TX,Arlington,32.753962,-97.134808
76013,TX,Arlington,32.719905,-97.14416
76014,TX,Arlington,32.695425,-97.087556
76015,TX,Arlington,32.693125,-97.134685
76016,TX,Arlington,32.688898,-97.190466
76017,TX,Arlington,32.65545,-97.159899
76018,TX,Arlington,32.654752,-97.091987
76020,TX,Azle,32.903453,-97.541153
76021,TX,Bedford,32.853579,-97.135797
76022,TX,Bedford,32.829749,-97.145351
76023,TX,Boyd,33.059367,-97.586797
76028,TX,Burleson,32.531624,-97.308959
76031,TX,Cleburne,32.342891,-97.397957
76034,TX,Colleyville,32.88721,-97.146026
76035,TX,Cresson,32.530714,-97.651931
76036,TX,Crowley,32.581398,-97.370306
76039,TX,Euless,32.858172,-97.083212
76040,TX,Euless,32.826358,-97.097203
76041,TX,Forreston,32.281131,-96.887522
76043,TX,Glen Rose,32.229762,-97.762911
76044,TX,Godley,32.428174,-97.534865
76048,TX,Granbury,32.42505,-97.774173
76049,TX,Granbury,32.448811,-97.728484
76050,TX,Grandview,32.277856,-97.235069
76051,TX,Grapevine,32.93143,-97.096203
76052,TX,Haslet,32.955734,-97.337185
76053,TX,Hurst,32.821107,-97.175613
76054,TX,Hurst,32.855832,-97.175521
76055,TX,Itasca,32.163589,-97.146034
76058,TX,Joshua,32.466252,-97.401123
76059,TX,Keene,32.393659,-97.32868
76060,TX,Kennedale,32.64316,-97.213853
76063,TX,Mansfield,32.577258,-97.141551
76064,TX,Maypearl,32.327878,-96.98803
76065,TX,Midlothian,32.475743,-96.993551
76066,TX,Millsap,32.670019,-97.878386
76067,TX,Mineral Wells,32.810283,-98.063051
76070,TX,Nemo,32.271312,-97.656668
76071,TX,Newark,33.007099,-97.510696
76073,TX,Paradise,33.082607,-97.697423
76077,TX,Rainbow,32.281216,-97.70652
76078,TX,Rhome,33.054045,-97.481688
76082,TX,Springtown,32.966021,-97.634951
76084,TX,Venus,32.432975,-97.108734
76086,TX,Weatherford,32.784074,-97.738591
76087,TX,Weatherford,32.749473,-97.689439
76092,TX,Grapevine,32.956456,-97.148066
76093,TX,Rio Vista,32.253168,-97.367825
76102,TX,Fort Worth,32.758897,-97.328023
76103,TX,Fort Worth,32.747005,-97.260394
76104,TX,Fort Worth,32.725551,-97.318409
76105,TX,Fort Worth,32.723325,-97.26899
76106,TX,Fort Worth,32.796849,-97.356008
76107,TX,Fort Worth,32.739175,-97.385248
76108,TX,White Settlement,32.759271,-97.474063
76109,TX,Fort Worth,32.700246,-97.378876
76110,TX,Fort Worth,32.706505,-97.337505
76111,TX,Fort Worth,32.782382,-97.300327
76112,TX,Fort Worth,32.749297,-97.218122
76114,TX,River Oaks,32.775379,-97.401526
76115,TX,Fort Worth,32.679618,-97.333634
76116,TX,Fort Worth,32.723032,-97.448279
76117,TX,Haltom City,32.808742,-97.270891
76118,TX,North Richland H,32.808944,-97.222781
76119,TX,Fort Worth,32.691379,-97.267492
76120,TX,Fort Worth,32.763912,-97.178112
76123,TX,Fort Worth,32.625361,-97.365838
76126,TX,Benbrook,32.670023,-97.464141
76127,TX,Carswell Afb,32.771846,-97.435453
76131,TX,Fort Worth,32.863156,-97.337656
76132,TX,Fort Worth,32.671092,-97.405626
76133,TX,Fort Worth,32.652561,-97.375849
76134,TX,Fort Worth,32.646886,-97.332467
76135,TX,Fort Worth,32.824844,-97.45191
76137,TX,Fort Worth,32.866421,-97.289114
76140,TX,Everman,32.631332,-97.270406
76148,TX,Watauga,32.8681,-97.249029
76155,TX,Fort Worth,32.824742,-97.050285
76177,TX,Fort Worth,32.901017,-97.332671
76179,TX,Saginaw,32.872961,-97.403149
76180,TX,North Richland H,32.853966,-97.220714
76201,TX,Denton,33.22893,-97.131436
76205,TX,Denton,33.180106,-97.101833
76225,TX,Alvord,33.36982,-97.688488
76226,TX,Argyle,33.106244,-97.159977
76227,TX,Aubrey,33.291997,-96.987866
76228,TX,Bellevue,33.58789,-98.157373
76230,TX,Bowie,33.556796,-97.837337
76233,TX,Collinsville,33.558012,-96.901365
76234,TX,Decatur,33.235077,-97.573995
76238,TX,Era,33.50101,-97.292358
76239,TX,Forestburg,33.539778,-97.584774
76240,TX,Lake Kiowa,33.625943,-97.103208
76245,TX,Gordonville,33.834283,-96.84027
76247,TX,Justin,33.073375,-97.309254
76248,TX,Keller,32.927556,-97.248883
76249,TX,Krum,33.27337,-97.267452
76250,TX,Lindsay,33.63601,-97.221436
76251,TX,Montague,33.663899,-97.728226
76252,TX,Muenster,33.659549,-97.362409
76255,TX,Nocona,33.798163,-97.726982
76258,TX,Pilot Point,33.370983,-96.944554
76259,TX,Ponder,33.177383,-97.284815
76261,TX,Ringgold,33.816392,-97.943982
76262,TX,Trophy Club,32.98639,-97.205346
76263,TX,Rosston,33.483795,-97.454172
76264,TX,Sadler,33.730989,-96.840017
76265,TX,Saint Jo,33.744024,-97.556756
76266,TX,Sanger,33.356266,-97.181432
76270,TX,Sunset,33.453909,-97.770891
76271,TX,Tioga,33.467493,-96.909712
76272,TX,Valley View,33.502166,-97.231053
76273,TX,Whitesboro,33.659021,-96.878984
76301,TX,Wichita Falls,33.905284,-98.497645
76302,TX,Wichita Falls,33.864278,-98.493987
76303,TX,Wichita Falls,33.899837,-98.460812
76304,TX,Wichita Falls,33.930806,-98.500491
76305,TX,Wichita Falls,33.937345,-98.540679
76306,TX,Wichita Falls,33.974595,-98.524835
76308,TX,Wichita Falls,33.863258,-98.533965
76309,TX,Wichita Falls,33.893084,-98.534288
76310,TX,Wichita Falls,33.858122,-98.575548
76311,TX,Sheppard Afb,33.982353,-98.508771
76350,TX,76350,33.431472,-98.371578
76354,TX,Burkburnett,34.085989,-98.570842
76357,TX,Byers,34.072812,-98.183929
76359,TX,Elbert,33.015687,-99.055214
76360,TX,Electra,34.036234,-98.91545
76363,TX,Goree,33.474832,-99.525806
76364,TX,Harrold,34.097097,-99.035052
76365,TX,Henrietta,33.819609,-98.259976
76366,TX,Holliday,33.675141,-98.657634
76367,TX,Iowa Park,33.94235,-98.674497
76371,TX,Munday,33.456088,-99.632624
76372,TX,Newcastle,33.190103,-98.744644
76373,TX,Oklaunion,34.120372,-99.160234
76374,TX,Olney,33.360135,-98.742695
76377,TX,Petrolia,34.027331,-98.269223
76378,TX,76378,33.611763,-99.40547
76379,TX,Scotland,33.653486,-98.464983
76380,TX,Seymour,33.591445,-99.258727
76383,TX,Vera,33.615469,-99.759098
76384,TX,Vernon,34.149135,-99.30301
76388,TX,Weinert,33.324872,-99.666431
76389,TX,Windthorst,33.57957,-98.437589
76401,TX,Stephenville,32.221372,-98.222407
76424,TX,Breckenridge,32.753166,-98.909882
76426,TX,Bridgeport,33.187027,-97.78098
76427,TX,Bryson,33.15947,-98.370256
76429,TX,Caddo,32.688617,-98.658983
76430,TX,Albany,32.719005,-99.319581
76431,TX,Chico,33.319315,-97.803133
76432,TX,Blanket,31.78819,-98.831089
76433,TX,Bluff Dale,32.401791,-98.163775
76435,TX,Carbon,32.270125,-98.83479
76436,TX,Carlton,31.911438,-98.152519
76437,TX,Cisco,32.380043,-98.986507
76442,TX,Comanche,31.911637,-98.608227
76443,TX,Cross Plains,32.148159,-99.18718
76444,TX,De Leon,32.108742,-98.54894
76445,TX,Desdemona,32.281877,-98.567327
76446,TX,Dublin,32.090873,-98.345469
76447,TX,76447,32.081163,-98.067535
76448,TX,Eastland,32.399418,-98.807101
76449,TX,Graford,32.924192,-98.337002
76450,TX,Graham,33.099283,-98.583212
76453,TX,Gordon,32.547828,-98.363211
76454,TX,Gorman,32.223441,-98.683408
76455,TX,Gustine,31.872448,-98.383488
76457,TX,Hico,31.959718,-98.024933
76458,TX,Jacksboro,33.234655,-98.168138
76459,TX,Jermyn,33.263554,-98.393149
76460,TX,Loving,33.26886,-98.50237
76462,TX,Lipan,32.507218,-97.953614
76463,TX,Mingus,32.562665,-98.426262
76464,TX,Moran,32.554909,-99.165567
76470,TX,Ranger,32.46809,-98.674659
76471,TX,Rising Star,32.127986,-98.985852
76472,TX,Santo,32.597935,-98.179675
76474,TX,Sidney,31.932031,-98.767995
76475,TX,Strawn,32.5945,-98.499467
76476,TX,Tolar,32.377246,-97.880208
76483,TX,Throckmorton,33.179446,-99.183812
76484,TX,Palo Pinto,32.725315,-98.270262
76486,TX,Perrin,33.058453,-98.044006
76487,TX,Poolville,32.968023,-97.847229
76490,TX,Whitt,32.955459,-98.021008
76491,TX,Woodson,33.301972,-99.015953
76501,TX,Temple,31.089518,-97.334264
76502,TX,Temple,31.071004,-97.389781
76504,TX,Temple,31.091742,-97.364764
76511,TX,Bartlett,30.799056,-97.426302
76513,TX,Belton,31.072298,-97.472025
76518,TX,Buckholts,30.885756,-97.124135
76519,TX,Burlington,30.945691,-96.885308
76520,TX,Cameron,30.852713,-96.976562
76522,TX,Izoro,31.125799,-97.912132
76523,TX,Davilla,30.767471,-97.200865
76524,TX,Eddy,31.326724,-97.270926
76525,TX,Bee House,31.403967,-98.055175
76526,TX,Flat,31.306475,-97.589777
76527,TX,Florence,30.78137,-97.834423
76528,TX,Turnersville,31.447646,-97.724286
76530,TX,Granger,30.739813,-97.445065
76531,TX,Hamilton,31.678116,-98.113051
76534,TX,Holland,30.879977,-97.385695
